1,1,17.3715
1,2,17.3715
1,3,76.0083
1,4,97.2904
1,5,142.774
1,6,204.33
1,7,132.469
1,8,132.469
1,9,192.077
1,10,192.077
2,1,17.3715
2,2,17.3715
2,3,76.0083
2,4,97.2904
2,5,142.774
2,6,204.33
2,7,132.469
2,8,132.469
2,9,192.077
2,10,192.077
3,1,88.4618
3,2,88.4618
3,3,10.6903
3,4,41.4158
3,5,71.8776
3,6,96.8406
3,7,156.454
3,8,156.454
3,9,211.613
3,10,211.613
4,1,131.39
4,2,131.39
4,3,49.9937
4,4,68.9539
4,5,20.4593
4,6,79.1316
4,7,145.029
4,8,145.029
4,9,199.297
4,10,199.297
5,1,210.308
5,2,210.308
5,3,104.979
5,4,63.1983
5,5,19.9663
5,6,89.672
5,7,176.598
5,8,176.598
5,9,218.8
5,10,218.8
6,1,164.995
6,2,164.995
6,3,125.563
6,4,108.965
6,5,67.0527
6,6,5.61015
6,7,83.3417
6,8,83.3417
6,9,138.491
6,10,138.491
7,1,155.921
7,2,155.921
7,3,83.2741
7,4,178.082
7,5,133.517
7,6,81.5028
7,7,53.3133
7,8,53.3133
7,9,74.603
7,10,74.603
8,1,155.921
8,2,155.921
8,3,83.2741
8,4,178.082
8,5,133.517
8,6,81.5028
8,7,53.3133
8,8,53.3133
8,9,74.603
8,10,74.603
9,1,161.345
9,2,161.345
9,3,184.946
9,4,140.851
9,5,197.04
9,6,256.458
9,7,247.89
9,8,247.89
9,9,46.6585
9,10,46.6585
10,1,161.345
10,2,161.345
10,3,184.946
10,4,140.851
10,5,197.04
10,6,256.458
10,7,247.89
10,8,247.89
10,9,46.6585
10,10,46.6585
